trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.9, 'e': 0.38878391807422696}",30,0,-83.8669346837922,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
95,False,"{'a': 0.9, 'e': 0.3848960788934847}",20,0,-24.59994582588019,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.9, 'e': 0.38104711810454983}",30,0,-52.4192326452886,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.9, 'e': 0.37723664692350434}",25,17,-1.2575004989245144,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.37346428045426927}",30,1,-36.55452958286243,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 1}",1
99,False,"{'a': 0.9, 'e': 0.36972963764972655}",20,11,10.134530294327325,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.9, 'e': 0.36603234127322926}",20,10,6.5088275885922515,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 0.36237201786049694}",25,3,-17.35834075615172,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
102,False,"{'a': 0.9, 'e': 0.358748297681892}",25,6,2.3328914536838607,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 0.35516081470507305}",20,2,-46.59839333921454,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
104,False,"{'a': 0.9, 'e': 0.3516092065580223}",20,15,1.8684954595377163,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9, 'e': 0.34809311449244207}",25,19,5.506292775663805,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 0.34461218334751764}",20,3,-86.03052548466616,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
107,False,"{'a': 0.9, 'e': 0.34116606151404244}",20,14,5.734042849509226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.337754400898902}",25,17,14.898650324815593,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.9, 'e': 0.334376856889913}",35,15,-17.38761322222157,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.33103308832101386}",25,15,14.459678561936729,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.3277227574378037}",25,6,-8.536419091529595,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.3244455298634257}",25,3,1.1727316612256051,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
